title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
In a Southland Vale ,James D. Corrothers,Corrothers,"Down in the Southland once I found a vale
   Wherein I thought the fairy muses dreamed.
   Thither so oft I went that soon it seemed
My soul, when lonely, sought that quiet dale.
So I would go; and, when all else would fail,
   Peace met me there, with gentle eyes that streamed
   In sympathy; and Hope came; and I deemed
That, sheltered safe from every stormy gale,
   Dreaming sweet dreams, 'twere sweet to rest me there
   Forevermore. And, haply, soine sweet bard
Might see my grave, and sing, while cooed the dove,
   And breathed the balm of 'fumed air and sward,
Of life and death, and mystery, and love;
   And all the tender hopes that waft us up above.",April,1904,Voice of the Negro,"J.W.E. Bowen, J. Max Barber",Sonnet,male,,,Atlanta,Predom. Black,https://scalar.lehigh.edu/african-american-poetry-a-digital-anthology/james-d-corrothers-author-page
When Sampson Sings,James E. McCall,McCall,"Black Sampson is a singing man;
     He’s blind and big and strong.
A steel guitar is in his hands,
     And in his mouth, a song.

He shuffles up and down the streets,
     Led by a little child;
His voice is vibrant, deep and loud,
     Like the sea when the winds are wild.

There’s sunshine, laughter, pain, and tears,
     In the songs black Sampson sings—
The slave’s sad wail, the warrior’s shout,
     And the laughter of rippling springs.

There’s something in his voice that clings,
     Like Ethiopia’s arms,
Which holds the strength of Pyramids,
     And great Sahara’s charms.
When Sampson sings he holds the throng
     With the spell of his magic bars,
Which thrill like the sound of tom-tom drums,
     On the Congo, under the stars.
",January,1928,The Crisis,W.E.B. Du Bois,Ballad,male,"Music, Slavery, Africa",,New York,Predom. Black,https://poets.org/poet/james-edward-mccall
The New Negro,James Edward McCall,McCall,"He scans the world with calm and fearless eyes,
Conscious within of powers long since forgot;
At every step, new man-made barriers rise
To bar his progress—but he heeds them not.
He stands erect, though tempests round him crash,
Though thunder bursts and billows surge and roll;
He laughs and forges on, while lightnings flash
Along the rocky pathway to his goal.
Impassive as a Sphinx, he stares ahead—
Foresees new empires rise and old ones fall;
While caste-mad nations lust for blood to shed,
He sees God's finger writing on the wall.
With soul awakened, wise and strong he stands,
Holding his destiny within his hands.",July,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Sonnet,male,"Progress and Racial Uplift, Race",Caroling Dusk ,New York,Predom. Black,https://poets.org/poet/james-edward-mccall
The Conjure Man,James Edward McCall,McCall,"An old brown man with snaky eyes
That scintillate and hypnotize--
Serpent-charmer of his race,
With thick red lips, shiny face,
Frayed frock-coat, stove-pipe hat,
Green spectacles, red cravat,
Old umbrella, rusty grip
Filled with roots and herbs to sip--
He can cast an evil spell,
Make you sick or make you well;
He can make a hoodoo charm
To bring good luck and shield you from harm;
Can bring you lover back again,
And make your rival writhe in pain--
He's a master of black art,
And can poison to the heart,
Like a cat on stealthy feet,
He comes gliding down the street;
People call him, ""Doctor Dan""--
He's the snake-eyed conjure man. ",August,1928,Opportunity,"Charles S. Johnson, Countee Cullen",,male,,,New York,Predom. Black,https://poets.org/poet/james-edward-mccall
Countee Cullen,James Edward McCall,McCall,"Out in the night, I hear a liquid note,
     I pause and listen, as it sweeter grows;
It is a singer with a golden throat, 
     And heart in which the fire of genius glows.
I hear him singing in the twilight hush–
     Caroling songs that warm the heart like sweet wine: 
No sweet-voiced nightingale or hermit-thrush
     Could thrill the world with music more divine. 
Though young in year, he sings as one whose heart 
     Has sung for ages. Yet he wears his crown, 
So modestly that men, thrilled by his art, 
     Pay tribute and forget that his face is brown. 
Unselfishly, his soul seeks to inspire 
     In other souls, divine poetic fire. ",March,1928,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",Sonnet,male,Intertext,,New York,Predom. Black,https://poets.org/poet/james-edward-mccall
Aunt Hagar's Children,James H. Young,Young,"Aunt Hagar’s children
Ain't got no stockin’s on, stockin’s on,
Aunt Hagar’s children
Ain’t got no stockin’s on,
‘Tis trosty weather............ tis frosty weather too.
Aunt Hagar’s children
Got their feet on the ground, on the ground,
Aunt Hagar’s children
Got their feet on the ground,
The snow is fallin .........  the snow is fallin’ down.
Aunt Hagar’s children
cin’t got no food to eat, food to eat,
Aunt Hagzar’s children
Ain't got no food to eat,
An’ they is dyin’ ......... they is dyin’ now.
Aurt Hagar’s children
Ain't goin’ to live much mo’, much mo’,
Aunt Hagar’s children
Ain't goin’ to live much mo’,
’Tis time fo’ Jesus ............ fo' Jesus to look down. ",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,"Poverty, Religion",,Philadelphia,Predom. Black,
I'll Win ,James H. Young,Young,"Damn everybody—
White folks push me down
Black  ones keep me there—”
Then they say, “Keep him there—”
But I’ll not be kept—d’ye hear?
I’ll win though it take all my years—
I'll win. ",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free verse,male,"Racism, Racial Progress and Uplift ",,Philadelphia,Predom. Black,
Dream Lady,James H. Young,Young ,"O lady of my dreams—
In love’s garden I found you,
While stars above us shone and
Lit our way to love.
We wandered in the night among
The shadowy trees and dewy scented
Flowers
Embossed in silver moonlight.
The shadows hid us as we
Plighted our troth and as loving
We did vow eternal faith.
Then we were as precious gems
Deeply set in
A beautiful setting, much as
The beauty of the black opal pierces
The world with laughing lustre
And yet remains serene in the black.
Lady of my dreams—in love’s garden
I found you, 
But with the coming of the morn—
The dawn,
Then my love I lost you—for
The moon was gone.",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free verse,male,,,Philadelphia,Predom. Black,
A Portrait ,James H. Young,Young,"YOU
are like a melody
that comes floating to me ,
over the quiet of a summer day
when all is calm and
noon-day zephyrs trill along
warmed by the glowing sun,
a ball of gilded fire,
. . . a song.
YOU
are like a garden in the spring
when the buds ache as they
painfully-—joyfully—burst the
bonds that held them fast during winter,
for their arrival is a beautiful thing
and so is the awakening of life
... to a maid.
YOU
are spring—
the springtime of life, for
your eyes glow as life's piteous—
joyous—aching—ecstatic secrets
are unfurled to you;
you live again the same joy,
the same life, that the trees live
and die with them—as they do.",May,1928,The Carolina Magazine,Lewis Alexander,Free verse,male,,,"Chapel Hill, NC",Predom. White,
Fifty Years,James Weldon Johnson,Johnson,"O brothers mine, to-day we stand
      Where half a century sweeps our ken,
    Since God, through Lincoln's ready hand,
      Struck off our bonds and made us men.
    Just fifty years--a winter's day--
      As runs the history of a race;
    Yet, as we look back o'er the way,
      How distant seems our starting place!
    Look farther back! Three centuries!
      To where a naked, shivering score,
    Snatched from their haunts across the seas,
      Stood, wild-eyed, on Virginia's shore.
    Far, far the way that we have trod,
      From heathen kraals and jungle dens,
    To freedmen, freemen, sons of God,
      Americans and Citizens.
    A part of His unknown design,
      We've lived within a mighty age;
    And we have helped to write a line
      On history's most wondrous page.
    A few black bondmen strewn along
      The borders of our eastern coast,
    Now grown a race, ten million strong,
      An upward, onward marching host.
    Then let us here erect a stone,
      To mark the place, to mark the time;
    A witness to God's mercies shown,
      A pledge to hold this day sublime.
    And let that stone an altar be,
      Whereon thanksgivings we may lay,
    Where we, in deep humility,
      For faith and strength renewed may pray.
    With open hearts ask from above
      New zeal, new courage and new pow'rs,
    That we may grow more worthy of
      This country and this land of ours.
    For never let the thought arise
      That we are here on sufferance bare;
    Outcasts, asylumed 'neath these skies,
      And aliens without part or share.
    This land is ours by right of birth,
      This land is ours by right of toil;
    We helped to turn its virgin earth,
      Our sweat is in its fruitful soil.
    Where once the tangled forest stood,--
      Where flourished once rank weed and thorn,--
    Behold the path-traced, peaceful wood,
      The cotton white, the yellow corn.
    To gain these fruits that have been earned,
      To hold these fields that have been won,
    Our arms have strained, our backs have burned,
      Bent bare beneath a ruthless sun.
    That Banner which is now the type
      Of victory on field and flood--
    Remember, its first crimson stripe
      Was dyed by Attucks' willing blood.
    And never yet has come the cry--
      When that fair flag has been assailed--
    For men to do, for men to die,
      That have we faltered or have failed.
    We've helped to bear it, rent and torn,
      Through many a hot-breath'd battle breeze;
    Held in our hands, it has been borne
      And planted far across the seas.
    And never yet--O haughty Land,
      Let us, at least, for this be praised--
    Has one black, treason-guided hand
      Ever against that flag been raised.
    Then should we speak but servile words,
      Or shall we hang our heads in shame?
    Stand back of new-come foreign hordes,
      And fear our heritage to claim?
    No! stand erect and without fear,
      And for our foes let this suffice--
    We've bought a rightful sonship here,
      And we have more than paid the price.
    And yet, my brothers, well I know
      The tethered feet, the pinioned wings,
    The spirit bowed beneath the blow,
      The heart grown faint from wounds and stings;
    The staggering force of brutish might,
      That strikes and leaves us stunned and dazed;
    The long, vain waiting through the night
      To hear some voice for justice raised.
    Full well I know the hour when hope
      Sinks dead, and 'round us everywhere
    Hangs stifling darkness, and we grope
      With hands uplifted in despair.
    Courage! Look out, beyond, and see
      The far horizon's beckoning span!
    Faith in your God-known destiny!
      We are a part of some great plan.
    Because the tongues of Garrison
      And Phillips now are cold in death,
    Think you their work can be undone?
      Or quenched the fires lit by their breath?
    Think you that John Brown's spirit stops?
      That Lovejoy was but idly slain?
    Or do you think those precious drops
      From Lincoln's heart were shed in vain?
    That for which millions prayed and sighed,
      That for which tens of thousands fought,
    For which so many freely died,
      God cannot let it come to naught.",,1913,New York Times,,Common Measure,male,"Progress and Racial Uplift, Civil War","Fifty Years and Other Poems, Dunbar Speaker and Entertainer",New York,Predom. White,https://en.wikipedia.org/wiki/James_Weldon_Johnson
"Father, Father Abraham",James Weldon Johnson,Johnson,"FATHER, FATHER ABRAHAM

(On the Anniversary of Lincoln's Birth)

    Father, Father Abraham,
      To-day look on us from above;
    On us, the offspring of thy faith,
      The children of thy Christ-like love.
    For that which we have humbly wrought,
      Give us to-day thy kindly smile;
    Wherein we've failed or fallen short,
      Bear with us, Father, yet awhile.
    Father, Father Abraham,
      To-day we lift our hearts to thee,
    Filled with the thought of what great price
      Was paid, that we might ransomed be.
    To-day we consecrate ourselves
      Anew in hand and heart and brain,
    To send this judgment down the years:
      The ransom was not paid in vain.
",February,1913,The Crisis,W.E.B. Du Bois,,male,"Abraham Lincoln, Religion",,New York,Predom. Black,"https://poets.org/poet/james-weldon-johnson#:~:text=Johnson%20wrote%20and%20edited%20numerous,a%20year%20later%20by%20The"
The White Witch,James Weldon Johnson,Johnson,"O BROTHERS mine, take care! Take care!    
The great white witch rides out to-night.    
Trust not your prowess nor your strength,    
Your only safety lies in flight;    
For in her glance there is a snare,            
And in her smile there is a blight.    
 
The great white witch you have not seen?    
Then, younger brothers mine, forsooth,    
Like nursery children you have looked    
For ancient hag and snaggle-tooth;            
But no, not so; the witch appears    
In all the glowing charms of youth.    
 
Her lips are like carnations, red,    
Her face like new-born lilies, fair,    
Her eyes like ocean waters, blue,            
She moves with subtle grace and air,    
And all about her head there floats    
The golden glory of her hair.    
 
But though she always thus appears    
In form of youth and mood of mirth,            
Unnumbered centuries are hers,    
The infant planets saw her birth;    
The child of throbbing Life is she,    
Twin sister to the greedy earth.    
 
And back behind those smiling lips,            
And down within those laughing eyes,    
And underneath the soft caress    
Of hand and voice and purring sighs,    
The shadow of the panther lurks,    
The spirit of the vampire lies.            
 
For I have seen the great white witch,    
And she has led me to her lair,    
And I have kissed her red, red lips    
And cruel face so white and fair;    
Around me she has twined her arms,            
And bound me with her yellow hair.    
 
I felt those red lips burn and sear    
My body like a living coal;    
Obeyed the power of those eyes    
As the needle trembles to the pole;            
And did not care although I felt    
The strength go ebbing from my soul.    
 
Oh! she has seen your strong young limbs,    
And heard your laughter loud and gay,    
And in your voices she has caught            
The echo of a far-off day,    
When man was closer to the earth;    
And she has marked you for her prey.    
 
She feels the old Antaean strength    
In you, the great dynamic beat            
Of primal passions, and she sees    
In you the last besieged retreat    
Of love relentless, lusty, fierce,    
Love pain-ecstatic, cruel-sweet.    
 
O, brothers mine, take care! Take care!            
The great white witch rides out to-night.    
O, younger brothers mine, beware!    
Look not upon her beauty bright;    
For in her glance there is a snare,    
And in her smile there is a blight. ",March,1915,The Crisis,W.E.B. Du Bois,,male,Interracial,The Book of American Negro Poetry,New York,Predom. Black,"https://poets.org/poet/james-weldon-johnson#:~:text=Johnson%20wrote%20and%20edited%20numerous,a%20year%20later%20by%20The"
To America,James Weldon Johnson,Johnson,"How would you have us, as we are?
Or sinking 'neath the load we bear?
Our eyes fixed forward on a star?
Or gazing empty at despair?

Rising or falling? Men or things?
With dragging pace or footsteps fleet?
Strong, willing sinews in your wings?
Or tightening chains about your feet?",November,1917,The Crisis,W.E.B. Du Bois,Common Measure,male,Racism,,New York,Predom. Black,"https://poets.org/poet/james-weldon-johnson#:~:text=Johnson%20wrote%20and%20edited%20numerous,a%20year%20later%20by%20The"
Brothers,James Weldon Johnson,Johnson,"See! There he stands; not brave, but with an air
Of sullen stupor. Mark him well! Is he
Not more like brute than man? Look in his eye!
No light is there; none, save the glint that shines
In the now glaring, and now shifting orbs
Of some wild animal caught in the hunter's trap.

How came this beast in human shape and form?
Speak, man! - We call you man because you wear
His shape-How are you thus? Are you not from
That docile, child-like, tender-hearted race
Which we have known three centuries? Not from
That more than faithful race which through three wars
Fed our dear wives and nursed our helpless babes
Without a single breach of trust? Speak out!

   I am, and am not.
      Then who, why are you?
   I am a thing not new, I am as old

As human nature. I am that which lurks,
Ready to spring whenever a bar is loosed;
The ancient trait which fights incessantly
Against restraint, balks at the upward climb;
The weight forever seeking to obey
The law of downward pull; and I am more:
The bitter fruit am I of planted seed;
The resultant, the inevitable end
Of evil forces and the powers of wrong.
   Lessons in degradation, taught and learned,
The memories of cruel sights and deeds,
The pent-up bitterness, the unspent hate
Filtered through fifteen generations have
Sprung up and found in me sporadic life.
In me the muttered curse of dying men,
On me the stain of conquered women, and
Consuming me the fearful fires of lust,
Lit long ago, by other hands than mine.
In me the down-crushed spirit, the hurled-back prayers
Of wretches now long dead,--their dire bequests,--
In me the echo of the stifled cry
Of children for their bartered mothers' breasts.

I claim no race, no race claims me; I am
No more than human dregs; degenerate;
The monstrous offspring of the monster, Sin;
I am-just what I am . . . . The race that fed
Your wives and nursed your babes would do the same
To-day, but I -
Enough, the brute must die!
Quick! Chain him to that oak! It will resist
The fire much longer than this slender pine.
Now bring the fuel! Pile it 'round him! Wait!
Pile not so fast or high! or we shall lose
The agony and terror in his face.
And now the torch! Good fuel that! the flames
Already leap head-high. Ha! hear that shriek!
And there's another! Wilder than the first.
Fetch water! Water! Pour a little on
The fire, lest it should burn too fast. Hold so!
Now let it slowly blaze again. See there!
He squirms! He groans! His eyes bulge wildly out,
Searching around in vain appeal for help!
Another shriek, the last! Watch how the flesh
Grows crisp and hangs till, turned to ash, it sifts
Down through the coils of chain that hold erect
The ghastly frame against the bark-scorched tree.

Stop! to each man no more than one man's share.
You take that bone, and you this tooth; the chain -
Let us divide its links; this skull, of course,
In fair division, to the leader comes.

And now his fiendish crime has been avenged;
Let us back to our wives and children. - Say,
What did he mean by those last muttered words,
'Brothers in spirit, brothers in deed are we'?
",February,1916,The Crisis,W.E.B. Du Bois,,male,"Racism, Slavery, Lynching and Racialized Violence",,New York,Predom. Black,"https://poets.org/poet/james-weldon-johnson#:~:text=Johnson%20wrote%20and%20edited%20numerous,a%20year%20later%20by%20The"
King Cotton and the Negro,Jasper Ross,Ross,"With brawny arms the negro stands,
Uplifting in his sable hands 
King Cotton; while about him grow
The pretty buds as white as snow.
His arms alone support, sustain,
His royal person while he reigns,
Exalt, ye nations that be prone,
Him who thus stands beneath the throne
For lo, what danger! what alarm!
Should he withdraw his mighty arm.
Pray, what if he should take away
That pow’r which gives King Cotton sway
O’er all the world; for by his right 
He can withhold that which would be blight
The nations all upon the globe.
For though he may not wear the robe,
Nor on the regal throne may sit,
He is the king; though black quite fit;
Despite illit’racy and birth,
To wield the scepter o’er the earth.
",September,1914,The Crisis,W.E.B. Du Bois,,male,"Labor, Racism",,New York,Predom. Black,
Song of the Son,Jean Toomer,Toomer,"Pour O pour that parting soul in song,
O pour it in the sawdust glow of night,
Into the velvet pine-smoke air to-night,
And let the valley carry it along.
And let the valley carry it along.

O land and soil, red soil and sweet-gum tree,
So scant of grass, so profligate of pines,
Now just before an epoch’s sun declines
Thy son, in time, I have returned to thee,
Thy son, I have in time returned to thee.

In time, for though the sun is setting on
A song-lit race of slaves, it has not set;
Though late, O soil, it is not too late yet
To catch thy plaintive soul, leaving, soon gone,
Leaving, to catch thy plaintive soul soon gone.

O Negro slaves, dark purple ripened plums,
Squeezed, and bursting in the pine-wood air,
Passing, before they stripped the old tree bare
One plum was saved for me, one seed becomes

An everlasting song, a singing tree,
Caroling softly souls of slavery,
What they were, and what they are to me,
Caroling softly souls of slavery.",April,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Slavery,"Cane, Survey Graphic, The New Negro, Caroling Dusk",New York,Predom. Black,https://en.wikipedia.org/wiki/Jean_Toomer
Nostalgia,Jessie Fauset,Fauset,"Lonely log cabin
On the road to Nostalgia,
Sighing and sagging and quaking;
Letme breath to the heart of your walls
A secret--
To keep it from breaking.
Once in a Harlem cellar,
A brown girl,
Wiggling and strutting
In a stranger's arms,
Dreaming of you
For a God-given moment--
Forgot to proffer her charms. ",December,1927,Black Opals,Gwendolyn Bennett,Free verse,female,Harlem,,Philadelphia,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Divine Afflatus,Jessie Fauset,Fauset," Tell me, swart children of the Southland 
 Chopping at cotton  
 In the sandy soil, 
 What do ye dream? 
 What deeds, what words of heroes 
 Leaven and lighten up 
 Your toil? 
 Know ye of L’Ouverture who freed a nation? 
 Heard ye of Crispus Attucks, 
 Or of Young? 
 Does fiery Vesey 
 Stir the spark within ye, 
 Or Douglass 
 Of the rare and matchless tongue? 
 That Washington 
 Who moulded a Tuskegee— 
 Does he inspire ye? 
 Does brave Moton thrill? 
 Mark ye Du Bois  
 That proud, unyielding eagle, 
 Beckoning ye higher than the highest hill? 

 But the swart children 
 Of the Southland 
 Stopping to dash the sweatbeads 
 From dull brows, 
 Answer: “These names 
 Mean nothing to us,  
 They, nor the unheard causes they espouse. 
 Only we know meek Jesus, 
 Thorn-encircled, 
 Broken and bleeding 
 In his Passion’s totls; 
 And Lazarus 
 Sharing crumbs with dogs; 
 And Job, 
 Potsherd in hand, a-scraping at his boils! 
",December,1927,Ebony and Topaz,Charles S. Johnson,,female,Travel-Migration-Great Migration- Progress - Racial Uplift - Religion,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Words! Words!,Jessie Fauset,Fauset,"How did it happen that we quarreled?
We two who loved each other so!
Only the moment before we were one,
Using the language that lovers know.
And then of a sudden, a word, a phrase
That struck at the heart like a poignard’s blow.
And you went beserk, and I saw red,
And love lay between us, bleeding and dead!
Dead! When we loved each other so!
How could it happen that we quarreled!
Think of the things we used to say!
“What does it matter, dear, what you do?
Love such as ours has to last for aye!”
—“Try me! I love to ensure your test!”
—“Love, we shall always love, come what may!”
What are the words the apostle saith?
“In the power of the tongue are Life and Death!”
Think of the things we used to say!",October,1926,Palms,Countee Cullen,,female,,Caroling Dusk,"Guadalajara, Mexico",Predom. White,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Dead Fires,Jessie Fauset,Fauset,"If this is peace, this dead and leaden thing,
Then better far the hateful fret, the sting,
Better the wound forever seeking balm
Than this gray calm!
Is this pain's surcease? Better far the ache,
The long-drawn dreary day, the night's white wake;
Better the choking sigh, the sobbing breath
Than passion's death! ",October,1926,Palms,Countee Cullen,,female,,,"Guadalajara, Mexico",Predom. White,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Episode ,Jessie Fauset,Fauset,"The memory of you is slight in my mind,
But poignant.
Like a sole, unrepeated experience,
Like the wheeling flight of a gull,
Like smoke hanging high in the blue
In vaporish traceries,—
Without sound, but significant
As a thunder-preceding lull.
Once I remember glimpsing
A column of sand-pipers
Marching meticulously
Over the sedge-strewn floor of the beach;
Slight and graceful, unswerving
As war-going fifers;
Persistent, purposeful, sure,—
And just beyond reach!
Easily, far too easily
That picture fades from my senses;
Yet if once I recall it
There springs to my mind perfection;
Perfection of sky and sun
And ocean and weather
Promised fulfilment, of yearning,
Assurance of heaven's protection.
So you. The memory of you
Is slight but poignant;
Yet once you enter my mind
For the moment you sever
All my connection with paltriness,
Actions ignoble;
Leaving me peace and completeness.—
Remain with me ever!",May,1928,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Jessie_R._Fauset
The Return,Jessie Fauset,Fauset,"I that had found the way so smooth
   With gilly-flowers that beck and nod,
Now find that same road wild and steep
   With need for compass and for rod.
And yet with feet that bleed, I pant
   On blindly--stumbling back to God! ",January,1919,The Crisis,W.E.B. Du Bois,,female,Religion,"Palms, Caroling Dusk","Guadalajara, Mexico",Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Oriflamme,Jessie Fauset,Fauset,"I can remember when I was a little, young girl, how my old mammy would sit out of doors in the evenings and look up at the stars and groan, and I would say, ‘Mammy, what makes you groan so?’ And she would say, ‘I am groaning to think  of my poor children; they do not know where I be and I don’t know where they be. I look up at the stars and they look up at the stars!’ —Sojourner Truth

I think I see her sitting, bowed and black,
Stricken and seared with slavery’s mortal scars,
Reft of her children, lonely, anguished, yet
Still looking at the stars.

Symbolic mother, we thy myriad sons,
Pounding our stubborn hearts on Freedom’s bars,
Clutching our birthright, fight with faces set,
Still visioning the stars!
",January,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Common Measure,female,"Slavery, Progress and Racial Uplift, Sojourner Truth",,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Rain Fugue,Jessie Fauset,Fauset,"Slanting, driving, Summer rain
How you wash my heart of pain!
How you make me think of trees,
Ships and gulls and flashing seas!
In your furious, tearing wind,
Swells a chant that heals my mind;
And your passion high and proud,
Makes me shout and laugh aloud!

Autumn rains that start at dawn,
‘Dropping veils of thinnest lawn’;
Soaking sod between dank grasses,
Sweeping golden leaves in masses,-
Blotting, blurring out the Past,
In a dream you hold me fast;
Calling, coaxing to forget
Thing that are, for things not yet.

Winter tempest, winter rain,
Hurtling down with might and main,
You but make me hug my heart,
Laughing, sheltered from your wrath.
Now I woo my dancing fire,
Piling, piling drift-wood higher.
Books and friends and pictures old,
Hearten while you pound and scold!

Pattering wistful showers of Spring
Set me to remembering
Far-off times and lovers too,
Gentle joys and heart-break rue,-
Memories I’d as lief forget,
Were not oblivion sadder yet.
Ah! you twist my mind with pain,
Wistful whispering April rain!

Summer, Autumn, Winter rain,
How you ease my heart of pain!
Whispering, wistful showers of Spring,
How I love the hurt you bring!
",August,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Ballade,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
The Sun of Brittainy,Jessie Fauset,Fauset,"I

“The sea compels me; sister I must go
Nay! Do not hold me,—I’m of age you know!
I am a Breton and of noble birth.
The pathway of the ocean draws me so!”

“But, brother, if you leave, what good am I on earth?
Without you, dear, my life is poor and cold.
Ah! stir not from our fold!
Remain with me until we both are old!
Our mountain life is happy, brother dear.
And then in Brittainy the sunlight is so clear!”

II

“Upon a vessel which shall bear your name
A captain I’ll return, but still the same.
Within three years we'll own these woods, this land;
And lords of all we'll be, and all will claim.”

“But think,” said she, “what more can you demand?
Our cottage rises from the earth’s brown mold,
And happy, happy is our humble fold.
Remain with me until we both are old! 
Our mountain life is happy, brother dear,
And then in Brittainy the sunlight is so clear!”

Ill

But he must leave her though the heavens fall.
Ten lonely years—no word from him no call!
Beside the hearth his sister, his best friend,
Wept, constant, wearing sorrow as a pall.
Then suddenly her grief comes to an end.
One day a sailor, shipwrecked, racked with cold,
Sought shelter.
“You! My brother, grown so old!”
“Yes, sister mine, I’ve come back to the fold.
This mountain life will heal my suffering drear.
And sweetest Brittainy, thy sunlight is so clear!”
",November,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Rondeau,Jessie Fauset,Fauset,"When April's here and meadows wide 
Once more with spring's sweet growths are pied 
    I close each book, drop each pursuit, 
    And past the brook, no longer mute, 
I joyous roam the countryside.

Look, here the violets shy abide 
And there the mating robins hide—
    How keen my sense, how acute, 
      When April's here!

And list! down where the shimmering tide 
Hard by that farthest hill doth glide, 
    Rise faint strains from shepherd's flute, 
    Pan's pipes and Berecyntian lute. 
Each sight, each sound fresh joys provide 
      When April's here. 
",April,1912,The Crisis,W.E.B. Du Bois,Rondeau,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Again It is September,Jessie Fauset,Fauset,"Again it is September! 
It seems so strange that I who made no vows
Should sit here desolate this golden weather 
And wistfully remember—

    A sigh of deepest yearning, 
A glowing look and words that knew no bounds, 
A swift response, an instant glad surrender
To kisses wild and burning! 

   Ay me! 
   Again it is September! 
It seems so strange that I who kept those vows 
Should sit here lone, and spent, and mutely praying 
That I may not remember! ",September,1917,The Crisis,W.E.B. Du Bois,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Here's April,Jessie Fauset,Fauset,"This town that yesterday was dark and mean,
   And dank and raw with Winter's freezing air,
Is Light itself today, and verdant Sheen
   Gold-tinted, and besprent with perfume rare;
Translated over night to a parterre
   That makes me dream of Araby and Spain,
And all the healing places of the Earth,
   Where one lays by his woe, his bitter pain,
      For peace and mirth.

II

Old Winter that stayed by us black and drear,
   And laid his blighting seal on everything,
Is vanished.-—Is it true he once was here?--
   Mark how the ash-trees bud, and children sing,
And birds set up a faint, shy jargoning;
   And healing balm pours out from bole and leaf.
For Spring—sweet April's here in tree and grass!
   Oh foolish heart to fret so with your grief!
      This too shall pass! 
",April,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Rencontre,Jessie Fauset,Fauset,"My heart that was so passionless
Leapt high last night when I saw you!
Within me surged the grief of years
And whelmed me with its endless rue.
My heart that slept so still, so spent,
Awoke last night,—to break anew!
",January,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Jessie_R._Fauset
Belle Mam'selle of Martinique ,John F. Matheus,Matheus,"Belle Mam'selle of Martinique,
Tell us why your dainty feet
Trip so blithe the Elysees,
How your rainbow turban lies,
Framing eyes of wild surprise,
Archly twinkling as you sway
Down the famous Elysees.
Belle Mam'selle of Martinique,
Do not show improper pique,
Daughter of the tropic shore,
Where the winds and sun restore
Color to the Nordic cheek,—
You are a maiden, quite unique,
Petite girl of Martinique.
Golden colored nymph are you,
Golden maid, whose eyes are dew,
Golden colors; copper, bronze,
Mango, almond, olive, orange.
Roguish maiden, picturesque,—
You're a human arabesque,—
Sweet coquette, demurely meek,
Belle Mam'selle of Martinique!",May,1928,The Carolina Magazine,Lewis Alexander,,male,"Caribbean, Black beauty",,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/John_F._Matheus
